Family,Molecule,Formula,Carbon,Hydrogen,Oxygen,Functional Group,Weight (g/mol),Boiling Point (°C),Carbon Chain Length,Has Oxygen,Polar,Hydrogen Bonding,Rotatable Bonds,Heavy Atom Count
Alkane,Methane,CH₄,1,4,0,Alkane,16.04,-161.5,1,0,0,0,0,1
Alkane,Ethane,C₂H₆,2,6,0,Alkane,30.07,-88.6,2,0,0,0,0,2
Alkane,Propane,C₃H₈,3,8,0,Alkane,44.1,-42.1,3,0,0,0,0,3
Alkane,Butane,C₄H₁₀,4,10,0,Alkane,58.12,-0.5,4,0,0,0,1,4
Alkane,Pentane,C₅H₁₂,5,12,0,Alkane,72.15,36.1,5,0,0,0,2,5
Alkane,Hexane,C₆H₁₄,6,14,0,Alkane,86.18,68.7,6,0,0,0,3,6
Alkane,Heptane,C₇H₁₆,7,16,0,Alkane,100.2,98.4,7,0,0,0,4,7
Alkane,Octane,C₈H₁₈,8,18,0,Alkane,114.23,125.6,8,0,0,0,5,8
Alkane,Nonane,C₉H₂₀,9,20,0,Alkane,128.25,150.8,9,0,0,0,6,9
Alkane,Decane,C₁₀H₂₂,10,22,0,Alkane,142.28,174.1,10,0,0,0,7,10
Alcohol,Methanol,CH₃OH,1,4,1,Alcohol (-OH),32.04,64.7,1,1,1,1,0,2
Alcohol,Ethanol,C₂H₅OH,2,6,1,Alcohol (-OH),46.07,78.4,2,1,1,1,0,3
Alcohol,1-Propanol,C₃H₇OH,3,8,1,Alcohol (-OH),60.1,97.2,3,1,1,1,1,4
Alcohol,2-Propanol,C₃H₈O,3,8,1,Alcohol (-OH),60.1,82.6,3,1,1,1,0,4
Alcohol,1-Butanol,C₄H₉OH,4,10,1,Alcohol (-OH),74.12,117.1,4,1,1,1,2,5
Alcohol,2-Butanol,C₄H₁₀O,4,10,1,Alcohol (-OH),74.12,99.5,4,1,1,1,1,5
Alcohol,tert-Butanol,C₄H₁₀O,4,10,1,Alcohol (-OH),74.12,82.4,4,1,1,1,0,5
